Word,Frequency,# of Senses,Length of word
affect,21379,3,6
allow,43903,2,5
announce,4635,3,8
approve,5038,2,7
area,113402,5,4
ask,99316,6,3
attempt,28333,2,7
authority,32013,6,9
avoid,33224,2,5
base,39825,12,4
begin,61038,4,5
believe,133140,2,7
bill,109160,9,4
build,40661,4,5
buy,58324,7,3
capital,39300,5,7
care,135002,3,4
carrier,5409,13,7
cause,54605,0,5
chance,56928,4,6
claim,28403,4,5
come,294851,11,4
complain,6556,2,8
complete,39356,3,8
condition,26906,4,9
contribute,12040,0,10
defense,61834,8,7
describe,20546,0,8
development,90197,3,11
disclose,2793,2,8
do,1435344,6,2
drug,55997,3,4
effect,62147,5,6
end,179724,4,3
enjoy,24152,2,5
estimate,10646,1,8
examine,14081,3,7
exchange,25331,6,8
exist,20566,2,5
explain,34490,2,7
express,16361,3,7
feel,147183,3,4
find,183811,6,4
fix,13808,6,3
future,93944,4,6
go,407037,14,2
grant,19900,0,5
hold,67235,10,4
hope,76873,1,4
hour,57743,4,4
improve,26418,1,7
job,121397,10,3
join,26851,4,4
keep,146708,8,4
kill,36143,9,4
lead,61612,7,4
maintain,22782,4,8
management,48647,2,10
move,89937,4,4
need,234813,2,4
negotiate,6866,0,9
network,34995,4,7
occur,17959,4,5
order,93586,9,5
part,212269,7,4
people,744329,6,6
plant,37965,3,5
point,167393,14,5
policy,87306,3,6
position,65762,7,8
power,140167,4,5
prepare,15401,0,7
president,261862,3,9
produce,33297,3,7
promise,21268,2,7
propose,4547,3,7
prove,28093,6,5
purchase,13772,1,8
raise,38038,9,5
rate,55154,2,4
recall,14869,4,6
receive,24974,2,7
regard,17040,3,6
remember,82342,6,8
remove,21985,2,6
replace,13669,0,7
report,78267,4,6
rush,17344,4,4
say,405079,5,3
see,456957,10,3
set,149730,12,3
share,50895,3,5
source,39812,6,6
space,75522,8,5
start,102164,7,5
state,268661,4,5
system,162323,7,6
turn,97421,15,4
value,51908,5,5
work,341364,9,4
